Name,lambda,CO_volpct,CO2_volpct,HC_ppm,NOx_ppm,O2_volpct,FSN
CA12_IMEP1_5,2.0,0.03,2.15,8,428,17.27,0.20
CA15_IMEP1_5,2.0,0.01,2.18,8,693,18.07,0.27
CA18_IMEP1_5,2.0,0.02,2.03,8,799,18.93,0.20
CA12_IMEP2_5,2.0,0.03,3.04,8,851,16.33,0.29
CA15_IMEP2_5,2.0,0.02,3.13,8,1155,16.19,0.25
CA18_IMEP2_5,2.0,0.02,3.19,8,1538,16.19,0.19
CA12_IMEP3_5,2.0,0.02,4.2,8,1519,14.74,0.32
CA15_IMEP3_5,2.0,0.02,4.12,8,1789,14.77,0.28
CA18_IMEP3_5,2.0,0.01,4.23,8,2288,14.64,0.18
