Name,lambda,CO_volpct,CO2_volpct,HC_ppm,NOx_ppm,O2_volpct,FSN
CA12_IMEP1_5,0,0.02,1.27,9,186,19.08,0.16
CA12_IMEP2_5,7.837,0.02,1.8,8,418,18.29,0.16
CA12_IMEP3_5,6.128,0.02,2.3,8,682,17.48,0.14
CA15_IMEP1_5,0,0.01,1.27,8,328,19.01,0.18
CA15_IMEP2_5,8.198,0.01,1.72,5,538,18.28,0.14
CA15_IMEP3_5,6.213,0.02,2.2,8,842,17.54,0.14
CA18_IMEP1_5,0,0.02,1.31,8,444,18.95,0.16
CA18_IMEP2_5,7.873,0.01,1.79,8,762,18.18,0.13
CA18_IMEP3_5,6.003,0.01,2.37,7,1187,17.48,0.13
