Name,lambda,CO_volpct,CO2_volpct,HC_ppm,NOx_ppm,O2_volpct,FSN
CA18_IMEP3_5,3.476,0.02,4.01,15,1302,14.67,0.35
CA18_IMEP2_5,4.593,0.02,3.03,15,864,16.12,0.32
CA18_IMEP1_5,6.705,0.02,2.09,15,494,17.73,0.36
CA15_IMEP3_5,3.51,0.02,3.98,15,1612,14.76,0.32
CA15_IMEP2_5,4.795,0.02,2.91,15,992,16.35,0.32
CA15_IMEP1_5,6.517,0.02,2.15,15,662,17.63,0.37
CA12_IMEP3_5,3.454,0.02,4.06,15,2192,14.72,0.23
CA12_IMEP2_5,4.823,0.02,2.89,15,1308,16.37,0.21
CA12_IMEP1_5,6.82,0.02,2.05,14,770,17.74,0.23
