Name,lambda,CO_volpct,CO2_volpct,HC_ppm,NOx_ppm,O2_volpct,FSN
CA12_IMEP1_5,7.194,0.01,1.97,5,438,18,0.22
CA12_IMEP2_5,4.82,0.01,2.94,5,761,16.53,0.19
CA12_IMEP3_5,3.562,0.01,4.02,5,1195,15.14,0.22
CA15_IMEP1_5,6.963,0.01,2.04,5,608,17.94,0.21
CA15_IMEP2_5,4.884,0.01,2.9,5,979,16.58,0.18
CA15_IMEP3_5,3.598,0.01,3.94,5,1564,15.05,0.21
CA18_IMEP1_5,6.661,0.01,2.14,5,813,17.86,0.17
CA18_IMEP2_5,4.815,0.01,2.94,5,1365,16.51,0.14
CA18_IMEP3_5,3.6,0.01,3.94,5,2111,15.06,0.17
