OperatingPoint,BMEP_BA,mFuel_g_per_s,lambda,EI_CO_g_per_MJ,EI_CO2_g_per_MJ,EI_HC_g_per_MJ,EI_NOx_g_per_MJ,EI_soot_g_per_MJ,GHG20_gCO2eq_per_MJ,GHG100_gCO2eq_per_MJ,P_b_kW,BSFC_g_per_kWh,BS_CO2_g_per_kWh,BS_CO2nonren_g_per_kWh,BS_CO_g_per_kWh,BS_NOx_g_per_kWh,BS_GHG20_gCO2eq_per_kWh,BS_GHG100_gCO2eq_per_kWh,BS_soot_mg_per_kWh,BS_NNOx_g_per_kWh
CA12_IMEP1_5,1.58951577189473,0.116781355,6.386,0.636916569084819,71.7196253024624,0.26740945563861,1.49227816400594,0.00805896011670993,93.8457112556214,79.9939014535414,1.43466446091366,293.039166616186,903.716346832326,903.716346832326,8.02558452617221,18.8037258302128,1182.52016772457,1007.97788730189,101.548411124932,30.2472801558383
CA12_IMEP2_5,2.43780286166212,0.157810795,4.619,0.43447027880869,69.175237879241,0.182412369824713,2.02401208309473,0.00894822060289118,84.2684654692016,74.8195047122815,2.20031105710343,258.199339664226,768.023031886039,768.023031886039,4.82373738096185,22.4717390830814,935.596671962616,830.688908560768,99.3482599859621,28.8716133829739
CA12_IMEP3_5,3.50172246930476,0.21435088,3.379,0.208336957108397,68.7422703067304,0.131205423898327,2.59859631220852,0.00735277127952498,79.434842939016,72.6384019810827,3.16058315842057,244.152148297095,721.693637890937,721.693637890937,2.18723437285088,27.2814735038526,833.950064787732,762.597341379619,77.1933808648277,26.1483771602421
CA15_IMEP1_5,1.54847454622741,0.120496355,6.618,0.21413917612556,73.3484398714859,0.269719033691886,2.43710412585883,0.0108284079353365,94.9927042665004,81.0212583212607,1.39762148912417,310.375077498153,978.917691507687,978.917691507687,2.85792892557053,32.5259044231837,1267.78482178439,1081.32011120974,144.517321940803,66.6059476242669
CA15_IMEP2_5,2.55009867758017,0.16673612,4.5,0.270881809397026,66.6089278664629,0.170594613272529,2.56907364035416,0.00719091960839758,80.5115184674941,71.674717499977,2.3016669662775,260.789263083872,746.94840816337,746.94840816337,3.03765190058547,28.8094333234749,902.851201548756,803.755860618239,80.6385288994828,35.9369230646256
CA15_IMEP3_5,3.44630365066036,0.20645359,3.43,0.220674353541299,71.4261667142673,0.138975208727901,3.24173067660258,0.00657901179850947,82.7519371684039,75.5530213562986,3.11056326495316,238.93837247229,733.857437145583,733.857437145583,2.2672855479059,33.3066756300193,850.222366995746,776.258186204239,67.5950699793093,32.077055181399
CA18_IMEP1_5,1.4623299633891,0.10746673,7.284,0.46720240380016,74.5091090971572,0.294232431382893,3.06525475709944,0.0087574664486427,98.4875510689885,83.2463111233547,1.31986914864186,293.120138763829,939.125177102303,939.125177102303,5.88869663760599,38.6349796891415,1241.35343934162,1049.25032152635,110.380560567766,111.985448374323
CA18_IMEP2_5,2.55696419070739,0.16491136,4.435,0.267960059807922,67.1535557310741,0.168754568190351,3.38408395417544,0.00540101308551465,80.9061920458929,72.1647054136327,2.30786363815942,257.242623083864,742.81454350381,742.81454350381,2.96402219266805,37.4328172236486,894.938405821332,798.245038931121,59.7429432574068,46.6937428985222
CA18_IMEP3_5,3.51100669516491,0.211992005,3.353,0.102454258586269,68.0939679514983,0.12904627786232,3.84973431191991,0.00396528954985173,78.449602550261,71.7650053569929,3.16896291099942,240.826806571653,705.150672487728,705.150672487728,1.0609704723449,39.8661264810267,812.388992136775,743.166293740053,41.0627648351779,37.6095532839875
