OperatingPoint,BMEP_BA,mFuel_g_per_s,lambda,EI_CO_g_per_MJ,EI_CO2_g_per_MJ,EI_HC_g_per_MJ,EI_NOx_g_per_MJ,EI_soot_g_per_MJ,GHG20_gCO2eq_per_MJ,GHG100_gCO2eq_per_MJ,P_b_kW,BSFC_g_per_kWh,BS_CO2_g_per_kWh,BS_CO2nonren_g_per_kWh,BS_CO_g_per_kWh,BS_NOx_g_per_kWh,BS_GHG20_gCO2eq_per_kWh,BS_GHG100_gCO2eq_per_kWh,BS_soot_mg_per_kWh,BS_NNOx_g_per_kWh
CA12_IMEP1_5,1.50731860982712,0.08494595,0,0.568133850526218,56.6842821622755,0.402521109021521,0.867717462531653,0.00861943593208844,89.3761156357989,68.5255221884841,1.36047498177072,224.778422313933,554.888123053606,277.444061526803,5.56151924195163,8.49417326564409,874.911759647829,670.803209249104,84.3765227977152,26.5442914551377
CA12_IMEP2_5,2.48529215004166,0.138147515,7.837,0.397637851729896,56.230052371187,0.250422410014829,1.36483052714431,0.00530003144620725,76.6382011220384,63.6663202832702,2.24317391855902,221.70864679074,542.924298119199,271.4621490596,3.83935711336282,13.1780004597894,739.973373644261,614.724525338317,51.1739849350778,29.1763847818215
CA12_IMEP3_5,3.49332528580333,0.178184445,6.128,0.298519716039776,53.9397736820675,0.188000278148577,1.6717530402713,0.0035682818413621,69.2608371660839,59.5224227579876,3.15300403215188,203.445347820317,477.908816588141,238.954408294071,2.64489808692369,14.8118069944609,613.654126935121,527.371338048198,31.615137321669,25.2473982860129
CA15_IMEP1_5,1.54496614333052,0.08915512,0,0.273522980991473,54.5802853254627,0.344515914651166,1.47337191617256,0.00930954370678115,82.2268086090896,64.3808842301592,1.39445487634829,230.167671571062,547.101978495851,273.550989247926,2.74174023041807,14.7687885028732,824.225256558811,645.341242347817,93.317023729399,44.5290105614268
CA15_IMEP2_5,2.48810043708735,0.12901928,8.198,0.193205003115553,52.2137728019945,0.152094620446196,1.70704656090814,0.00492804113855451,64.5328162637672,56.6543149246542,2.24570862107141,206.825321701088,470.302127047351,235.151063523675,1.74024436552426,15.3757827768634,581.262742079543,510.299167932519,44.3880628666332,33.9171678901399
CA15_IMEP3_5,3.42603609581773,0.176516685,6.213,0.288227242024545,49.8156694525179,0.181518334498857,1.99279142058099,0.0036019955819286,64.6084876002232,55.2058378731824,3.09227018403099,205.499528883868,445.825557083598,222.912778541799,2.5794909945904,17.8344957519592,578.2139494111,494.064893527881,32.2360756078289,30.926871246172
CA18_IMEP1_5,1.5799345303273,0.09065373,0,0.51588968055181,53.092894219603,0.324894465010137,1.88085163077297,0.00807673521779399,79.5701354931076,62.7406022055825,1.42601662802564,228.856677815774,529.161390491772,264.580695245886,5.14172197077851,18.7458995949983,793.052331353323,625.31728193373,80.4984640845539,54.8660475951168
CA18_IMEP2_5,2.54206091576712,0.135195395,7.873,0.183054983262098,51.4840669972267,0.230566933576823,2.29076875162551,0.00435042851804447,69.9864752358138,58.0431080765343,2.29441224668153,212.125533545218,475.613259626647,237.806629813323,1.691074197477,21.1622751767097,646.539746335075,536.206120480522,40.1895500670393,45.0261173972547
CA18_IMEP3_5,3.51035119681542,0.17958217,6.003,0.128688791675322,47.9211607292585,0.141828739700721,2.50862741987003,0.00327514642414827,59.3278301560343,51.981101439537,3.16837127158141,204.04673461053,425.838709719771,212.919354859885,1.14355888230722,22.2922535136519,527.201058147455,461.916298144046,29.1037217416791,37.9981593982703
