OperatingPoint,BMEP_BA,mFuel_g_per_s,lambda,EI_CO_g_per_MJ,EI_CO2_g_per_MJ,EI_HC_g_per_MJ,EI_NOx_g_per_MJ,EI_soot_g_per_MJ,GHG20_gCO2eq_per_MJ,GHG100_gCO2eq_per_MJ,P_b_kW,BSFC_g_per_kWh,BS_CO2_g_per_kWh,BS_CO2nonren_g_per_kWh,BS_CO_g_per_kWh,BS_NOx_g_per_kWh,BS_GHG20_gCO2eq_per_kWh,BS_GHG100_gCO2eq_per_kWh,BS_soot_mg_per_kWh,BS_NNOx_g_per_kWh
CA12_IMEP1_5,1.5115960241151,0.11002838,7.015,0.213407006994829,67.7326869091099,0.167998018716029,1.50002040475337,0.010184649770289,81.3398407189094,72.6375433494191,1.36433568851681,290.326032906615,865.240740690819,865.240740690819,2.72613482835245,19.1617788292049,1039.06322401978,927.897071231642,130.102234431457,37.3281405763733
CA12_IMEP2_5,2.497117564225,0.15638976,4.768,0.305600951148258,70.5846549598402,0.144344897668385,1.82433184725099,0.00619868547457758,82.4680695964578,74.9910038972355,2.25384729580031,249.796486678164,775.799148183776,775.799148183776,3.35887393258297,20.0513141830489,906.410298126322,824.22952946391,68.1300335571877,26.4412934281963
CA12_IMEP3_5,3.48564187216123,0.200984055,3.578,0.114741111294194,71.0319166502911,0.0903263657278467,2.16889785026148,0.0055755692415116,78.3479835952028,73.6690778505004,3.14606913997545,229.983056890366,718.790042432689,718.790042432689,1.16109450716321,21.9476293381875,792.823185810526,745.476147783508,56.4206041549365,21.7303260774134
CA15_IMEP1_5,1.57266951238343,0.112835565,6.918,0.195355494712121,62.9242071070151,0.153787527968664,1.79983716406319,0.00948136979001938,75.380369168281,67.4141752195043,1.41945937125835,286.170948056018,792.31152015346,792.31152015346,2.45982295370768,22.6626887338024,949.153555226783,848.847051139122,119.384873593899,43.7222290684291
CA15_IMEP2_5,2.52042280232154,0.155527725,4.792,0.154469547743872,71.598372541282,0.145921607758046,2.44040929195353,0.0052820480501263,83.3688859017652,75.8101466198984,2.2748821275657,246.122558709947,775.366884570448,775.366884570448,1.67281137467357,26.4281502863459,902.834394657365,820.977839539689,57.2013719783429,35.0041725646966
CA18_IMEP1_5,3.46701780807082,0.20045609,7.089,0.112277608949104,35.2826674034279,0.0883870502437612,1.27598030991356,0.00385582228676338,42.4416577097022,37.8632085070754,3.12925944022869,230.611087953532,358.009269895514,358.009269895514,1.13926830831327,12.9472291289639,430.650741795377,384.193731118036,39.1245963902632,25.5537417019024
CA18_IMEP2_5,1.54215443739105,0.11035597,4.876,0.223110101655551,101.3107047785,0.175636477740268,4.63138655860777,0.00613312945103059,115.536542591879,106.438573044933,1.39191708801223,285.420371243052,1272.31011462608,1272.31011462608,2.80192739387451,58.1632511208281,1450.96524666336,1336.70842945488,77.0228837309733,77.3790480543168
CA15_IMEP3_5,2.49494187496995,0.153025735,3.624,0.154491441269961,94.6688914249729,0.145942289753773,3.71948762352057,0.00666188520250559,106.441073062764,98.881262453519,2.2518835631294,244.636381303141,1019.01602088816,1019.01602088816,1.66294599392197,40.0365676708753,1145.73179318831,1064.35798591386,71.7085374983082,40.3730094160087
CA18_IMEP3_5,3.4588986049868,0.19937073,3.617,0.114306845535899,70.0446721204434,0.0899845035368289,3.68312082231559,0.00412048908371269,77.3330496232387,72.6718523400309,3.12193121340543,229.900846283249,708.546493517397,708.546493517397,1.15628658308556,37.2571141366077,782.273076378071,735.122095573555,41.6813728076432,37.3193129915937
