OperatingPoint,BMEP_BA,mFuel_g_per_s,lambda,EI_CO_g_per_MJ,EI_CO2_g_per_MJ,EI_HC_g_per_MJ,EI_NOx_g_per_MJ,EI_soot_g_per_MJ,GHG20_gCO2eq_per_MJ,GHG100_gCO2eq_per_MJ,P_b_kW,BSFC_g_per_kWh,BS_CO2_g_per_kWh,BS_CO2nonren_g_per_kWh,BS_CO_g_per_kWh,BS_NOx_g_per_kWh,BS_GHG20_gCO2eq_per_kWh,BS_GHG100_gCO2eq_per_kWh,BS_soot_mg_per_kWh,BS_NNOx_g_per_kWh
CA18_IMEP3_5,1.52256333171616,0.105225655,3.476,0.460641290907572,145.116067624951,0.543938261219848,4.9247997492032,0.0163795856556973,188.810961172166,160.634959240978,1.37423455628859,275.653349180116,1740.07525763897,1740.07525763897,5.52351318550561,59.0528832035527,2264.01726069257,1926.16105619314,196.406312521636,55.9742968754054
CA18_IMEP2_5,2.48981286337774,0.148294645,4.593,0.310966764050676,74.0226906036894,0.367198347767801,2.2061876241396,0.0105058224635308,103.519958695192,84.4990842808197,2.24725422205517,237.561338971152,764.944432991599,764.944432991599,3.21350511668811,22.7985625415302,1069.76678990726,873.206628756067,108.566310437186,28.0310195182748
CA18_IMEP1_5,3.55870078744061,0.198579945,6.705,0.23820234319277,39.1111494269543,0.281276062159973,0.966245991915833,0.00896136029481666,61.706227710099,47.1361276902123,3.21201062426742,222.56707266124,378.661150582249,378.661150582249,2.30619592280763,9.35487257227429,597.4191892886,456.356323111968,86.7609121627803,17.1649038023381
CA15_IMEP3_5,1.54106886979809,0.1074542,3.51,0.403685471031983,126.221825006904,0.476683218649869,5.34346395001135,0.0144988023982526,164.514079807917,139.821889081854,1.39093727688165,278.111117179379,1527.01063528143,1527.01063528143,4.88371965419381,64.6443377004247,1990.26396192961,1691.54194737283,175.404098774238,62.1580170196392
CA15_IMEP2_5,2.48038255107859,0.14763775,4.795,0.324151746174148,74.1053595072325,0.382767547472687,2.64043064645104,0.0105525667565533,104.853310943191,85.0259519841063,2.23874261484112,237.408220345025,765.305136060856,765.305136060856,3.34759857937076,27.2684074212507,1082.84715075134,878.084907550439,108.979075077924,35.1850418338719
CA15_IMEP1_5,3.50390530694585,0.196510005,6.517,0.20964725089356,35.4108128354606,0.247557401760246,1.13962479189766,0.00934273865242143,55.2972504846174,42.4737770734366,3.16255334307868,223.691410470037,344.567618103877,344.567618103877,2.03998858252926,11.0892060541201,538.074118086825,413.294330917292,90.9102318263689,19.7433935681664
CA12_IMEP3_5,1.47377706128027,0.103723505,3.454,0.449743078277413,143.449416409238,0.531069343592482,8.09505427862694,0.0104328587767815,186.110541924518,158.601149926428,1.33020106532708,280.712914560915,1751.66251409503,1751.66251409503,5.491818028348,98.8488031835747,2272.59802045522,1936.68051061237,127.395761457825,94.4415317040522
CA12_IMEP2_5,2.59099357915282,0.15294198,4.823,0.295557050495189,67.1038488749153,0.349002122282341,3.17441567550777,0.00641127823828907,95.1394030326244,77.0610930983992,2.33857786892863,235.438441163492,687.248912520357,687.248912520357,3.02696886909081,32.5110073037229,974.377064330346,789.226748054721,65.6615689115367,42.1308949940254
CA12_IMEP1_5,3.52569556674205,0.197315615,6.82,0.23101515448093,37.2051102192909,0.254603278073057,1.46064919166629,0.0054842728969919,57.6817458721286,44.4932960679443,3.18222078638214,223.22027969894,361.264677258029,361.264677258029,2.24317613180982,14.1830236681014,560.094491948837,432.03356069612,53.2527404555153,26.1037245425179
