OperatingPoint,BMEP_BA,mFuel_g_per_s,lambda,EI_CO_g_per_MJ,EI_CO2_g_per_MJ,EI_HC_g_per_MJ,EI_NOx_g_per_MJ,EI_soot_g_per_MJ,GHG20_gCO2eq_per_MJ,GHG100_gCO2eq_per_MJ,P_b_kW,BSFC_g_per_kWh,BS_CO2_g_per_kWh,BS_CO2nonren_g_per_kWh,BS_CO_g_per_kWh,BS_NOx_g_per_kWh,BS_GHG20_gCO2eq_per_kWh,BS_GHG100_gCO2eq_per_kWh,BS_soot_mg_per_kWh,BS_NNOx_g_per_kWh
CA12_IMEP1_5,1.46100537107187,0.10154738,7.194,0.239774881738261,74.2178161879426,0.188755306759324,1.724735564892,0.010016292144054,89.5062256056243,79.7287007154913,1.31867359867858,277.225970373815,907.362179527195,0,2.93140744991698,21.0860397361397,1094.27315593754,974.736409232053,122.455835234969,42.1720794722795
CA12_IMEP2_5,2.47430256680098,0.149629055,4.82,0.157651693642387,72.8256267382087,0.124106385034439,1.97028032404334,0.00580416480955322,82.8777373693246,76.4490266245407,2.23325494525002,241.201569550177,774.64540634745,0,1.67693936534153,20.9578505616371,881.569598740358,813.187471867833,61.7388384938535,28.1313430357545
CA12_IMEP3_5,3.48486879904468,0.19353137,3.562,0.116824624582469,73.7902033061595,0.0919665466634571,2.29269889800011,0.00525562457674568,81.2391182122396,76.4752510950726,3.14537137997482,221.504187529543,720.807401265805,0,1.14118203062484,22.3958501333264,793.570894997142,747.035846672994,51.3386997658066,22.9309045733717
CA15_IMEP1_5,1.52260788968284,0.100166635,6.963,0.23221033947893,74.4303361747737,0.182800356498051,2.31862148323695,0.00965603689243125,89.2364189272117,79.7673604606127,1.37427477339897,262.392858386053,861.272499885435,0,2.68702776126984,26.8299865859317,1032.60145741908,923.030010127231,111.735072831082,52.6078168351603
CA15_IMEP2_5,2.47058042282972,0.14731011,4.884,0.153556769476772,69.9689287095711,0.120882783540265,2.46885953467224,0.00556405866261824,79.7599407772161,73.4982125898304,2.22989541414728,237.821196741101,733.828161293772,0,1.61049031159365,25.893188394255,836.515461432786,770.842989851239,58.3553730637768,35.1491245170882
CA15_IMEP3_5,3.50874211585638,0.19244083,3.598,0.117526253756447,72.7560938436832,0.092518882375211,3.01867504471754,0.00502602656073919,80.249745687984,75.457267580948,3.16691894798231,218.757410397694,701.892719383403,0,1.13379948661467,29.1217673206018,774.185490933361,727.951487519709,48.4870924762644,29.3664880543884
CA18_IMEP1_5,1.58764816140378,0.105486155,6.661,0.226811662421129,76.263619789894,0.178550416150871,3.02831222821327,0.00731063142211359,90.7254747209058,81.4765631642907,1.43297879384097,265.007521138616,891.280087960777,0,2.65070972227864,35.3913752923158,1060.29335235209,952.202879746258,85.4381189209387,67.6268317687564
CA18_IMEP2_5,2.531795762463,0.147005095,4.815,0.152214487315899,70.3139635312807,0.119826113720656,3.41219123833105,0.00427116276074643,80.0193896564754,73.8123969657454,2.28514712903271,231.590489415889,718.126394509831,0,1.55458795776318,34.8491888139773,817.249275946701,753.856386997129,43.6219857294059,46.5690719117736
CA18_IMEP3_5,3.50136934520935,0.193769465,3.6,0.109879569602644,68.0223186053438,0.0864992684662017,3.80934148012652,0.00397983448703305,75.0284062928675,70.5477441863182,3.1602644358266,220.731552110621,662.147033608902,0,1.06959645831447,37.0811259125614,730.34612288742,686.730186481772,38.7407494168586,37.455682739961
